date,us_tbill_3m,cn_interbank_3m
2014-01-01,0.04,6.76
2014-02-01,0.05,5.14
2014-03-01,0.05,4.84
2014-04-01,0.03,4.64
2014-05-01,0.03,4.5
2014-06-01,0.04,4.59
2014-07-01,0.03,4.57
2014-08-01,0.03,4.47
2014-09-01,0.02,4.44
2014-10-01,0.02,4.26
2014-11-01,0.02,4.22
2014-12-01,0.03,5.22
2015-01-01,0.03,4.98
2015-02-01,0.02,5.41
2015-03-01,0.03,5.18
2015-04-01,0.02,4.1
2015-05-01,0.02,3.11
2015-06-01,0.02,3.35
2015-07-01,0.03,3.21
2015-08-01,0.07,3.05
2015-09-01,0.02,3.16
2015-10-01,0.02,3.19
2015-11-01,0.12,3.06
2015-12-01,0.23,2.97
2016-01-01,0.26,3.19
2016-02-01,0.31,2.95
2016-03-01,0.29,2.77
2016-04-01,0.23,2.95
2016-05-01,0.27,2.89
2016-06-01,0.27,2.87
2016-07-01,0.3,2.87
2016-08-01,0.3,2.77
2016-09-01,0.29,2.81
2016-10-01,0.33,2.91
2016-11-01,0.45,3.35
2016-12-01,0.51,4.77
2017-01-01,0.51,4.57
2017-02-01,0.52,5.51
2017-03-01,0.74,4.86
2017-04-01,0.8,4.4
2017-05-01,0.89,4.86
2017-06-01,0.98,5.13
2017-07-01,1.07,4.35
2017-08-01,1.01,4.48
2017-09-01,1.03,4.59
2017-10-01,1.07,4.7
2017-11-01,1.23,4.76
2017-12-01,1.32,5.55
2018-01-01,1.41,4.85
2018-02-01,1.57,4.49
2018-03-01,1.7,4.8
2018-04-01,1.76,4.37
2018-05-01,1.86,4.54
2018-06-01,1.9,4.63
2018-07-01,1.96,3.93
2018-08-01,2.03,3.23
2018-09-01,2.13,3.12
2018-10-01,2.25,3.22
2018-11-01,2.33,3.37
2018-12-01,2.37,3.87
2019-01-01,2.37,3.24
2019-02-01,2.39,2.91
2019-03-01,2.4,3.08
2019-04-01,2.38,3.0
2019-05-01,2.35,3.15
2019-06-01,2.17,3.6
2019-07-01,2.1,3.16
2019-08-01,1.95,3.11
2019-09-01,1.89,3.3
2019-10-01,1.65,3.46
2019-11-01,1.54,3.33
2019-12-01,1.54,3.49
2020-01-01,1.52,3.67
2020-02-01,1.52,2.98
2020-03-01,0.29,2.55
2020-04-01,0.14,2.32
2020-05-01,0.13,2.13
2020-06-01,0.16,2.54
2020-07-01,0.13,2.76
2020-08-01,0.1,2.97
2020-09-01,0.11,2.99
2020-10-01,0.1,3.18
2020-11-01,0.09,3.56
2020-12-01,0.09,3.33
2021-01-01,0.08,3.01
2021-02-01,0.04,3.25
2021-03-01,0.03,3.07
2021-04-01,0.02,2.82
2021-05-01,0.02,2.84
2021-06-01,0.04,2.93
2021-07-01,0.05,2.82
2021-08-01,0.05,2.86
2021-09-01,0.04,2.77
2021-10-01,0.05,2.72
2021-11-01,0.05,2.94
2021-12-01,0.06,3.08
2022-01-01,0.15,3.32
2022-02-01,0.33,3.2
2022-03-01,0.44,3.17
2022-04-01,0.76,2.99
2022-05-01,0.98,2.81
2022-06-01,1.49,2.76
2022-07-01,2.23,2.79
2022-08-01,2.63,2.5
2022-09-01,3.13,2.36
2022-10-01,3.72,2.43
2022-11-01,4.15,2.68
2022-12-01,4.25,2.79
2023-01-01,4.54,2.9
2023-02-01,4.65,2.94
2023-03-01,4.69,3.05
2023-04-01,4.92,2.89
2023-05-01,5.14,2.98
2023-06-01,5.16,2.81
2023-07-01,5.25,2.57
2023-08-01,5.3,2.63
2023-09-01,5.32,2.64
2023-10-01,5.34,2.73
2023-11-01,5.27,2.88
2023-12-01,5.24,3.02
2024-01-01,5.22,2.79
2024-02-01,5.24,2.69
2024-03-01,5.24,2.53
2024-04-01,5.24,2.49
2024-05-01,5.25,2.32
2024-06-01,5.24,2.23
2024-07-01,5.2,2.21
2024-08-01,5.05,2.04
2024-09-01,4.72,2.06
2024-10-01,4.51,2.1
2024-11-01,4.42,2.04
2024-12-01,4.27,2.0
