tariff_action,date,cn_tariff_on_row,cn_tariff_on_us,us_tariff_on_cn,us_tariff_on_row
"January 1, 2018",2018-01-01,7.992101192474365,7.992101192474365,3.091533660888672,2.168421745300293
US Section 201 tariffs imposed on solar panels and washing machines,2018-02-07,7.992101192474365,7.992101192474365,3.1776797771453857,2.203778028488159
"US Section 232 tariffs imposed on steel and aluminum, temporarily exempting Argentina, Australia, Brazil, EU, Canada, Mexico, and South Korea",2018-03-23,7.992101192474365,7.992101192474365,3.7969303131103516,2.464200496673584
China's retaliation to US Section 232 tariffs,2018-04-02,7.992101192474365,8.36872386932373,3.7969303131103516,2.464200496673584
China's MFN tariff cut on pharmaceuticals,2018-05-01,7.968201637268066,8.34482479095459,3.7969303131103516,2.464200496673584
"US ends Section 232 steel and aluminum tariff exemptions for EU, Canada, and Mexico. (Argentina, Brazil, and South Korea had earlier agreed to quotas)",2018-06-01,7.968201637268066,8.34482479095459,3.7969303131103516,2.8710620403289795
"China's MFN tariff cut on consumer goods, autos, and ITA products",2018-07-01,6.85605525970459,7.232678413391113,3.7969303131103516,2.8710620403289795
"US Section 301 tariffs of 25% ($34 billion, List 1) imposed and China’s retaliation ($34 billion)",2018-07-06,6.85605525970459,10.119281768798828,6.746252536773682,2.8710620403289795
US Section 232 tariff increase from 25% to 50% on imports of steel from Turkey,2018-08-13,6.85605525970459,10.119281768798828,6.746252536773682,2.8915958404541016
"US Section 301 tariffs of 25% ($16 billion, List 2) imposed and China’s retaliation ($16 billion)",2018-08-23,6.85605525970459,14.36530876159668,8.405341148376465,2.8915958404541016
"US Section 301 tariffs of 10% ($200 billion, List 3) imposed and China’s retaliation ($60 billion)",2018-09-24,6.85605525970459,18.33176040649414,12.059206008911133,2.8915958404541016
China's MFN tariff cut on industrial goods,2018-11-01,6.6750359535217285,18.150741577148438,12.059206008911133,2.8915958404541016
China suspends retaliation against US autos and parts (Section 301) and reduces MFN tariff rates for 2019,2019-01-01,6.67483377456665,16.503416061401367,12.059206008911133,2.8915958404541016
US Section 201 tariffs reduced on solar panels and washing machines in second year of policy,2019-02-07,6.67483377456665,16.503416061401367,12.046144485473633,2.8863871097564697
US exempts Canada and Mexico from Section 232 tariffs on steel and aluminum in exchange for both agreeing to VERs,2019-05-20,6.67483377456665,16.503416061401367,12.046144485473633,2.8863871097564697
US reduces Section 232 tariff on steel imports from Turkey from 50% to 25%,2019-05-21,6.67483377456665,16.503416061401367,12.046144485473633,2.8658533096313477
"US Section 301 tariffs (10% to 25% increase on List 3, effective June 15) imposed and China’s retaliation on some US products (subset of $60 billion, effective June 1)",2019-06-01,6.67483377456665,20.7301025390625,17.526941299438477,2.8658533096313477
China’s MFN tariff cut on ITA products,2019-07-01,6.63424825668335,20.689517974853516,17.526941299438477,2.8658533096313477
"US Section 301 tariffs of 15% (subset of $300 billion, List 4A) imposed and China’s retaliation on some US products (subset of $75 billion)",2019-09-01,6.63424825668335,21.838481903076172,21.0438175201416,2.8658533096313477
US imposes Section 301 tariffs on selected imports from EU after WTO authorization in Airbus dispute,2019-10-18,6.63424825668335,21.838481903076172,21.0438175201416,2.9946796894073486
"China adjusts MFN tariff rates for 2020, and US reduces tariffs on imports from Japan under US-Japan Trade Agreement",2020-01-01,6.6205010414123535,21.824735641479492,21.0438175201416,2.988891363143921
US Section 201 tariffs reduced on solar panels and washing machines in third year of policy,2020-02-07,6.6205010414123535,21.824735641479492,21.0307559967041,2.983682632446289
US Section 232 import tariffs extended to products that use aluminum and steel,2020-02-08,6.6205010414123535,21.824735641479492,21.051422119140625,3.011106014251709
"US Section 301 tariffs of 15% imposed on September 1, 2019 (List 4A) cut to 7.5%, and China’s retaliatory tariffs imposed on September 1, 2019 cut in half",2020-02-14,6.6205010414123535,21.25025177001953,19.2929840087891,3.011106014251709
US adjusts Section 301 tariffs on selected imports from EU related to Airbus dispute,2020-03-05,6.6205010414123535,21.25025177001953,19.2929840087891,3.0177392959594727
China’s MFN tariffs cut on ITA products,2020-07-01,6.594202995300293,21.223955154418945,19.2929840087891,3.0177392959594727
US reimposes Section 232 tariff of 10% on certain aluminum products from Canada,2020-08-16,6.594202995300293,21.223955154418945,19.2929840087891,3.020915985107422
US eliminates re-imposed Section 232 tariff of 10% on certain aluminum products from Canada,2020-09-01,6.594202995300293,21.223955154418945,19.2929840087891,3.020915985107422
"China adjusts MFN tariff rates for 2021, and US reduces tariffs on imports from Japan under US-Japan Trade Agreement",2021-01-01,6.600471019744873,21.230222702026367,19.2929840087891,3.013267755508423
US adjusts Section 301 tariffs on selected imports from EU related to Airbus dispute,2021-01-14,6.600471019744873,21.230222702026367,19.2929840087891,3.056593656539917
US Section 201 tariffs reduced on solar panels and washing machines in fourth year of policy (washing machines had received an extension),2021-02-07,6.600471019744873,21.230222702026367,19.2808952331543,3.0518980026245117
US suspends Section 301 tariffs on selected imports from EU (March 11) and UK (March 4) related to Airbus dispute,2021-03-11,6.600471019744873,21.230222702026367,19.2808952331543,3.0085718631744385
China’s MFN tariffs cut on some steel products,2021-05-01,6.599483013153076,21.22923469543457,19.2808952331543,3.0085718631744385
China’s MFN tariffs cut on ITA products,2021-07-01,6.5751872062683105,21.204938888549805,19.2808952331543,3.0085718631744385
China adjusts MFN tariff rates for 2022; US Section 232 tariffs on imports of steel and aluminum from the EU converted to a tariff-rate quota,2022-01-01,6.542125225067139,21.171878814697266,19.2808952331543,3.0085718631744385
US Section 201 tariffs reduced on solar panels and washing machines in fifth year of policy (solar panels had received an extension),2022-02-07,6.542125225067139,21.171878814697266,19.2793674468994,3.00784969329834
US Section 232 tariffs on imports of steel from Japan converted to a tariff-rate quota,2022-04-11,6.542125225067139,21.171878814697266,19.2793674468994,3.00784969329834
China’s MFN tariffs cut to zero on coal,2022-05-01,6.503927230834961,21.13368034362793,19.2793674468994,3.00784969329834
US Section 232 tariffs on imports of steel and aluminum from the UK converted to a tariff-rate quota,2022-06-01,6.503927230834961,21.13368034362793,19.2793674468994,3.00784969329834
China’s MFN tariffs cut on ITA products,2022-07-01,6.514189720153809,21.14394187927246,19.2793674468994,3.00784969329834
"China’s MFN tariffs cut on selected products, effective MFN tariff increased on frozen chicken under conversion from special to ad valorem rate",2023-01-01,6.4405717849731445,21.070323944091797,19.2793674468994,3.00784969329834
US Section 201 tariffs reduced on solar panels in sixth year of policy; Section 201 tariffs on washing machines expire,2023-02-07,6.4405717849731445,21.070323944091797,19.2651958465576,3.0004587173461914
China's MFN tariff cut on ITA products,2023-07-01,6.427186012268066,21.05799674987793,19.2651958465576,3.0004587173461914
"China’s MFN tariffs on coal revert back to higher, binding rate",2023-12-31,6.465384483337402,21.096195220947266,19.2651958465576,3.0004587173461914
China adjusts MFN tariff rates for 2024,2024-01-01,6.467347621917725,21.09815788269043,19.2651958465576,3.0004587173461914
US Section 201 tariffs reduced on solar panels in seventh year of policy,2024-06-26,6.467347621917725,21.09815788269043,19.26464080810547,3.0002496242523193
"US Section 301 tariffs adjusted on selected Chinese products, including electric vehicles",2024-09-27,6.467347621917725,21.09815788269043,19.8455200195312,3.0002496242523193
"China adjusts MFN tariff rates for 2025; US Section 301 tariffs imposed adjusted on selected Chinese products, including tungsten, wafers, and polysilicon",2025-01-01,6.527206897735596,21.16656494140625,20.7372913360596,3.0002496242523193
US tariffs of 10 percent imposed on all imports from China under International Emergency Economic Powers Act (IEEPA),2025-02-04,6.527206897735596,21.16656494140625,30.7372932434082,3.0002496242523193
US Section 201 tariffs reduced on solar panels in eighth year of policy,2025-02-07,6.527206897735596,21.16656494140625,30.7367362976074,3.0000405311584473
China retaliates against US tariffs under IEEPA imposed February 4,2025-02-10,6.527206897735596,21.877544403076172,30.7367362976074,3.0000405311584473
US tariffs of 10 percent on all imports from China under IEEPA; US tariffs imposed on imports from Canada and Mexico that are not compliant with USMCA [not shown],2025-03-04,6.527206897735596,21.877544403076172,40.7367362976074,3.0000405311584473
China retaliates against US tariffs under IEEPA imposed March 4,2025-03-10,6.527206897735596,22.597021102905273,40.7367362976074,3.0000405311584473
"US Section 232 tariffs on steel, aluminum, and derivative products",2025-03-12,6.527206897735596,22.597021102905273,42.6579475402832,4.12869787216186
US Section 232 tariffs on automobiles,2025-04-03,6.527206897735596,22.597021102905273,42.74066925048828,5.64690589904785
US tariff of 10% on most all countries under IEEPA,2025-04-05,6.527206897735596,22.597021102905273,50.15144729614258,11.005508422851562
US additional tariffs on trade surplus countries under IEEPA,2025-04-09,6.527206897735596,22.597021102905273,104.99119567871094,16.187143325805664
US additional tariffs on trade surplus countries under IEEPA reversed except for China; US additional tariffs on China increase to 125%; China's 84 percent retaliatiatory tariff to US tariffs under IEEPA,2025-04-10,6.527206897735596,106.59624481201172,135.37538146972656,11.005508422851562
US tariff under IEEPA excluded semiconductors,2025-04-11,6.527206897735596,106.59624481201172,124.77342987060547,10.777246475219727
China's retaliation to US tariffs under IEEPA,2025-04-12,6.527206897735596,147.59585571289062,124.77342987060547,10.777246475219727
