date,holdings_bn
2014-01-01,1275.6
2014-02-01,1272.9
2014-03-01,1272.1
2014-04-01,1263.2
2014-05-01,1270.9
2014-06-01,1268.4
2014-07-01,1264.9
2014-08-01,1269.7
2014-09-01,1266.3
2014-10-01,1252.7
2014-11-01,1250.4
2014-12-01,1244.3
2015-01-01,1239.1
2015-02-01,1223.7
2015-03-01,1261.0
2015-04-01,1263.4
2015-05-01,1270.3
2015-06-01,1271.2
2015-07-01,1268.8
2015-08-01,1270.5
2015-09-01,1258.0
2015-10-01,1254.8
2015-11-01,1264.5
2015-12-01,1246.1
2016-01-01,1238.0
2016-02-01,1252.3
2016-03-01,1244.6
2016-04-01,1242.8
2016-05-01,1244.0
2016-06-01,1240.8
2016-07-01,1218.8
2016-08-01,1185.1
2016-09-01,1157.0
2016-10-01,1115.7
2016-11-01,1049.3
2016-12-01,1058.4
2017-01-01,1051.1
2017-02-01,1059.7
2017-03-01,1088.1
2017-04-01,1092.2
2017-05-01,1102.2
2017-06-01,1146.5
2017-07-01,1166.9
2017-08-01,1201.7
2017-09-01,1182.3
2017-10-01,1189.2
2017-11-01,1176.6
2017-12-01,1184.9
2018-01-01,1168.2
2018-02-01,1176.7
2018-03-01,1187.7
2018-04-01,1181.9
2018-05-01,1183.1
2018-06-01,1191.2
2018-07-01,1171.0
2018-08-01,1165.1
2018-09-01,1151.4
2018-10-01,1138.9
2018-11-01,1121.4
2018-12-01,1124.3
2019-01-01,1126.7
2019-02-01,1130.9
2019-03-01,1120.5
2019-04-01,1113.0
2019-05-01,1110.2
2019-06-01,1112.5
2019-07-01,1110.3
2019-08-01,1103.5
2019-09-01,1102.4
2019-10-01,1101.5
2019-11-01,1089.1
2019-12-01,1069.9
2020-01-01,1078.6
2020-02-01,1092.3
2020-03-01,1081.6
2020-04-01,1072.8
2020-05-01,1083.7
2020-06-01,1074.4
2020-07-01,1073.4
2020-08-01,1068.0
2020-09-01,1061.7
2020-10-01,1054.0
2020-11-01,1063.0
2020-12-01,1072.3
2021-01-01,1095.2
2021-02-01,1104.2
2021-03-01,1100.4
2021-04-01,1096.1
2021-05-01,1078.4
2021-06-01,1061.8
2021-07-01,1068.3
2021-08-01,1047.0
2021-09-01,1047.5
2021-10-01,1065.4
2021-11-01,1052.9
2021-12-01,1040.3
2022-01-01,1033.8
2022-02-01,1028.7
2022-03-01,1013.2
2022-04-01,976.0
2022-05-01,951.8
2022-06-01,938.8
2022-07-01,939.2
2022-08-01,938.6
2022-09-01,901.7
2022-10-01,877.9
2022-11-01,870.3
2022-12-01,867.1
2023-01-01,859.3
2023-02-01,849.0
2023-03-01,869.3
2023-04-01,868.9
2023-05-01,846.7
2023-06-01,835.8
2023-07-01,821.8
2023-08-01,805.4
2023-09-01,778.1
2023-10-01,769.6
2023-11-01,782.0
2023-12-01,816.3
2024-01-01,797.7
2024-02-01,775.0
2024-03-01,767.4
2024-04-01,770.7
2024-05-01,768.3
2024-06-01,780.2
2024-07-01,776.5
2024-08-01,774.6
2024-09-01,772.0
2024-10-01,760.1
2024-11-01,768.6
2024-12-01,759.0
