date,exports_usd,imports_usd
2014-01-01,10264542542,38377199560
2014-02-01,9750696184,30700352329
2014-03-01,10934276106,31420875281
2014-04-01,9031900812,36450218795
2014-05-01,9220161982,38188135770
2014-06-01,9330219574,39607118661
2014-07-01,9291791064,40319618346
2014-08-01,9625172763,40093817085
2014-09-01,9313967699,45102775410
2014-10-01,12593334298,45335351722
2014-11-01,12125930519,42483529438
2014-12-01,12175209863,40395902459
2015-01-01,9459198394,38589696731
2015-02-01,8754588178,31563988155
2015-03-01,9886519164,41136917530
2015-04-01,9279912850,36121394467
2015-05-01,8749787563,39082029905
2015-06-01,9615754115,41453839795
2015-07-01,9505173559,41215078176
2015-08-01,9183456081,44138055272
2015-09-01,9419421166,45724951242
2015-10-01,11324856248,44309932520
2015-11-01,10603592681,41884774152
2015-12-01,10091105315,37980997419
2016-01-01,8208886377,37126434120
2016-02-01,8080515063,36066892525
2016-03-01,8925561211,29812326908
2016-04-01,8679668476,32920204539
2016-05-01,8541963035,37513726589
2016-06-01,8845557796,38539190214
2016-07-01,9129666281,39438857738
2016-08-01,9372919258,43221774205
2016-09-01,9521151936,42020928547
2016-10-01,12600004710,43798098424
2016-11-01,12044084823,42602631733
2016-12-01,11644805511,39358926061
2017-01-01,9955522802,41335553396
2017-02-01,9739814915,32784957412
2017-03-01,9720184109,34161993661
2017-04-01,9806476826,37441870879
2017-05-01,9880023522,41756844722
2017-06-01,9718210931,42258078621
2017-07-01,9954063313,43561110857
2017-08-01,10825460770,45782311949
2017-09-01,10895979304,45405051275
2017-10-01,12963222187,48133149629
2017-11-01,12908394227,48104793415
2017-12-01,13629874337,44439382241
2018-01-01,9909454284,45681310362
2018-02-01,9743121150,38956173961
2018-03-01,12653006282,38273829291
2018-04-01,10509567261,38227767574
2018-05-01,10397753833,43866578304
2018-06-01,10855733395,44524005052
2018-07-01,10151956607,47009750007
2018-08-01,9278141243,47796194112
2018-09-01,9733102127,49938049895
2018-10-01,9188675374,52081070497
2018-11-01,8650462613,46344570969
2018-12-01,9210239622,45814858502
2019-01-01,7105423454,41302508180
2019-02-01,8083567641,33027758098
2019-03-01,10574292487,31078662933
2019-04-01,7900415334,34499454932
2019-05-01,9070662843,39023881706
2019-06-01,9168472651,38732975180
2019-07-01,8700822720,41237166159
2019-08-01,9413541123,40955642945
2019-09-01,8604763411,39866673154
2019-10-01,8854883948,39794889454
2019-11-01,10103196777,36172914882
2019-12-01,8901174927,33418149084
2020-01-01,7155748571,32944673286
2020-02-01,6826002961,22576609689
2020-03-01,7933474457,19638123468
2020-04-01,8635882963,30730147843
2020-05-01,9699662055,36318738261
2020-06-01,9240649481,37286885658
2020-07-01,9090054635,40469812982
2020-08-01,10969391591,40598942662
2020-09-01,11503269759,41003217161
2020-10-01,14803109027,44654266193
2020-11-01,14211671534,44700409933
2020-12-01,14512593341,41626191515
2021-01-01,13011167051,38835275419
2021-02-01,9265080558,33816759940
2021-03-01,12812047416,39934039704
2021-04-01,11931362605,37371138998
2021-05-01,12407374865,38486525451
2021-06-01,12142569897,39779270246
2021-07-01,11757276100,40290914463
2021-08-01,11245190915,42897843401
2021-09-01,11019586584,47350944635
2021-10-01,16651543234,47873453886
2021-11-01,15883781026,48234758989
2021-12-01,13312414737,49375341266
2022-01-01,11401740097,47667077458
2022-02-01,11612714553,42297863971
2022-03-01,13618766681,47285271444
2022-04-01,11342108001,41727289477
2022-05-01,12301190639,43769593642
2022-06-01,11578887888,48488064176
2022-07-01,12408471722,46565042288
2022-08-01,12846573092,50383134999
2022-09-01,11815121993,49270250025
2022-10-01,15686296150,44670639494
2022-11-01,15797646308,36915671360
2022-12-01,13577856467,37228790900
