icio_industry,icio_label,naics_prefix,naics_label,note
A01_02,"Agriculture, hunting, forestry",111,Crop production,ICIO2023 codes
A01_02,"Agriculture, hunting, forestry",112,Animal production,ICIO2023 codes
A01_02,"Agriculture, hunting, forestry",113,Forestry and logging,ICIO2023 codes
A03,Fishing and aquaculture,114,"Fishing, hunting and trapping",ICIO2023 codes
B05_06,"Mining energy (coal, oil, gas)",211,Oil and gas extraction,ICIO2023 codes
B05_06,"Mining energy (coal, oil, gas)",2121,Coal mining,ICIO2023 codes
B07_08,Mining non-energy,2122,Metal ore mining,ICIO2023 codes
B07_08,Mining non-energy,2123,Nonmetallic mineral mining,ICIO2023 codes
B09,Mining support service,213,Support activities for mining,ICIO2023 codes
C10T12,"Food, beverages, tobacco",311,Food manufacturing,ICIO2023 codes
C10T12,"Food, beverages, tobacco",312,Beverage and tobacco product,ICIO2023 codes
C13T15,"Textiles, apparel, leather",313,Textile mills,ICIO2023 codes
C13T15,"Textiles, apparel, leather",314,Textile product mills,ICIO2023 codes
C13T15,"Textiles, apparel, leather",315,Apparel manufacturing,ICIO2023 codes
C13T15,"Textiles, apparel, leather",316,Leather and allied product,ICIO2023 codes
C16,Wood and products of wood,321,Wood product manufacturing,ICIO2023 codes
C17_18,Paper products and printing,322,Paper manufacturing,ICIO2023 codes
C17_18,Paper products and printing,323,Printing and related support,ICIO2023 codes
C19,Coke and refined petroleum,324,Petroleum and coal products,ICIO2023 codes
C20,Chemicals,325,Chemical manufacturing,"ICIO2023; pharma 3254 split to C21"
C21,Pharmaceuticals,3254,Pharmaceutical and medicine,ICIO2023 codes
C22,Rubber and plastics products,326,Plastics and rubber products,ICIO2023 codes
C23,Other non-metallic mineral,327,Nonmetallic mineral product,ICIO2023 codes
C24,Basic metals,331,Primary metal manufacturing,ICIO2023 codes
C25,Fabricated metal products,332,Fabricated metal product,ICIO2023 codes
C26,"Computer, electronic, optical",334,Computer and electronic product,ICIO2023 codes
C27,Electrical equipment,335,"Electrical equipment, appliance",ICIO2023 codes
C28,Machinery and equipment nec,333,Machinery manufacturing,ICIO2023 codes
C29,"Motor vehicles, trailers",3361,Motor vehicle manufacturing,ICIO2023 codes
C29,"Motor vehicles, trailers",3362,Motor vehicle body and trailer,ICIO2023 codes
C29,"Motor vehicles, trailers",3363,Motor vehicle parts,ICIO2023 codes
C30,Other transport equipment,3364,Aerospace product and parts,ICIO2023 codes
C30,Other transport equipment,3365,Railroad rolling stock,ICIO2023 codes
C30,Other transport equipment,3366,Ship and boat building,ICIO2023 codes
C30,Other transport equipment,3369,Other transportation equipment,ICIO2023 codes
C31T33,Manufacturing nec; repair,337,Furniture and related product,ICIO2023 codes
C31T33,Manufacturing nec; repair,339,Miscellaneous manufacturing,ICIO2023 codes
